mã,cấu hình,seed,số bước,checkpoint,trạng thái,lệnh train,lệnh evaluate
improved,configs/baseline_cai_tien_6000.yaml,42,6000,checkpoints\iwslt_base_v1_seed42\tot_nhat.pt,đã có checkpoint,python scripts/train.py --config configs/baseline_cai_tien_6000.yaml --seed 42 --so-buoc 6000,python scripts/evaluate.py --config configs/baseline_cai_tien_6000.yaml --seed 42 --checkpoint checkpoints\iwslt_base_v1_seed42\tot_nhat.pt --split test --search greedy --kv-cache
improved,configs/baseline_cai_tien_6000.yaml,1337,6000,artifacts\checkpoints\baseline_cai_tien_6000_seed1337\tot_nhat.pt,chưa train,python scripts/train.py --config configs/baseline_cai_tien_6000.yaml --seed 1337 --so-buoc 6000,python scripts/evaluate.py --config configs/baseline_cai_tien_6000.yaml --seed 1337 --checkpoint artifacts\checkpoints\baseline_cai_tien_6000_seed1337\tot_nhat.pt --split test --search greedy --kv-cache
vanilla,configs/baseline_vanilla_architecture_6000.yaml,42,6000,artifacts\checkpoints\baseline_vanilla_architecture_6000_seed42\tot_nhat.pt,chưa train,python scripts/train.py --config configs/baseline_vanilla_architecture_6000.yaml --seed 42 --so-buoc 6000,python scripts/evaluate.py --config configs/baseline_vanilla_architecture_6000.yaml --seed 42 --checkpoint artifacts\checkpoints\baseline_vanilla_architecture_6000_seed42\tot_nhat.pt --split test --search greedy --kv-cache
vanilla,configs/baseline_vanilla_architecture_6000.yaml,1337,6000,artifacts\checkpoints\baseline_vanilla_architecture_6000_seed1337\tot_nhat.pt,chưa train,python scripts/train.py --config configs/baseline_vanilla_architecture_6000.yaml --seed 1337 --so-buoc 6000,python scripts/evaluate.py --config configs/baseline_vanilla_architecture_6000.yaml --seed 1337 --checkpoint artifacts\checkpoints\baseline_vanilla_architecture_6000_seed1337\tot_nhat.pt --split test --search greedy --kv-cache
a1,configs/ablation_a1_layernorm.yaml,42,6000,artifacts\checkpoints\a1_layernorm_seed42\tot_nhat.pt,chưa train,python scripts/train.py --config configs/ablation_a1_layernorm.yaml --seed 42 --so-buoc 6000,python scripts/evaluate.py --config configs/ablation_a1_layernorm.yaml --seed 42 --checkpoint artifacts\checkpoints\a1_layernorm_seed42\tot_nhat.pt --split test --search greedy --kv-cache
a1,configs/ablation_a1_layernorm.yaml,1337,6000,artifacts\checkpoints\a1_layernorm_seed1337\tot_nhat.pt,chưa train,python scripts/train.py --config configs/ablation_a1_layernorm.yaml --seed 1337 --so-buoc 6000,python scripts/evaluate.py --config configs/ablation_a1_layernorm.yaml --seed 1337 --checkpoint artifacts\checkpoints\a1_layernorm_seed1337\tot_nhat.pt --split test --search greedy --kv-cache
a2,configs/ablation_a2_warmup.yaml,42,6000,artifacts\checkpoints\a2_warmup_bat_seed42\tot_nhat.pt,chưa train,python scripts/train.py --config configs/ablation_a2_warmup.yaml --seed 42 --so-buoc 6000,python scripts/evaluate.py --config configs/ablation_a2_warmup.yaml --seed 42 --checkpoint artifacts\checkpoints\a2_warmup_bat_seed42\tot_nhat.pt --split test --search greedy --kv-cache
a2,configs/ablation_a2_warmup.yaml,1337,6000,artifacts\checkpoints\a2_warmup_bat_seed1337\tot_nhat.pt,chưa train,python scripts/train.py --config configs/ablation_a2_warmup.yaml --seed 1337 --so-buoc 6000,python scripts/evaluate.py --config configs/ablation_a2_warmup.yaml --seed 1337 --checkpoint artifacts\checkpoints\a2_warmup_bat_seed1337\tot_nhat.pt --split test --search greedy --kv-cache
a3,configs/ablation_a3_label_smoothing.yaml,42,6000,artifacts\checkpoints\a3_label_smoothing_01_seed42\tot_nhat.pt,chưa train,python scripts/train.py --config configs/ablation_a3_label_smoothing.yaml --seed 42 --so-buoc 6000,python scripts/evaluate.py --config configs/ablation_a3_label_smoothing.yaml --seed 42 --checkpoint artifacts\checkpoints\a3_label_smoothing_01_seed42\tot_nhat.pt --split test --search greedy --kv-cache
a3,configs/ablation_a3_label_smoothing.yaml,1337,6000,artifacts\checkpoints\a3_label_smoothing_01_seed1337\tot_nhat.pt,chưa train,python scripts/train.py --config configs/ablation_a3_label_smoothing.yaml --seed 1337 --so-buoc 6000,python scripts/evaluate.py --config configs/ablation_a3_label_smoothing.yaml --seed 1337 --checkpoint artifacts\checkpoints\a3_label_smoothing_01_seed1337\tot_nhat.pt --split test --search greedy --kv-cache
a4,configs/ablation_a4_sincos.yaml,42,6000,artifacts\checkpoints\a4_sincos_seed42\tot_nhat.pt,chưa train,python scripts/train.py --config configs/ablation_a4_sincos.yaml --seed 42 --so-buoc 6000,python scripts/evaluate.py --config configs/ablation_a4_sincos.yaml --seed 42 --checkpoint artifacts\checkpoints\a4_sincos_seed42\tot_nhat.pt --split test --search greedy --kv-cache
a4,configs/ablation_a4_sincos.yaml,1337,6000,artifacts\checkpoints\a4_sincos_seed1337\tot_nhat.pt,chưa train,python scripts/train.py --config configs/ablation_a4_sincos.yaml --seed 1337 --so-buoc 6000,python scripts/evaluate.py --config configs/ablation_a4_sincos.yaml --seed 1337 --checkpoint artifacts\checkpoints\a4_sincos_seed1337\tot_nhat.pt --split test --search greedy --kv-cache
